User,Text,Followers,Retweets,Favorites,
Betim14833514,"@RichardGrenell You miss Thaqi and Vuqiqi because you got millions from these two thieves, even how many millions of Euros failed you without receiving them with the arrival of Albin Kurti 🤔🤔🤔",20,0,0,2022-08-08 18:32:09+00:00
EuronewsAlbania,"Albin Kurti's warning: We are at risk of war, Putin is behind Serbia

➡️https://t.co/6c2u6bmYGd https://t.co/JUHPfINEzy",5290,0,5,2022-08-08 17:32:57+00:00
GF83R,Yeah right  and because Thaçi was such a good primeminister/president people over 50% voted for VV precisely Albin Kurti and Vjosa Osmani for president with more than 300 000 votes https://t.co/7OfwZYU8Q8,69,0,0,2022-08-08 17:23:48+00:00
BlackKingCrypto,@kos_data Next year Republic of Kosova will be near Albania in ranking. Albin Kurti has some surprises for the next year 🤩,592,0,0,2022-08-08 17:17:42+00:00
GazetariRKS,"The journalist of the Koha Group, founded by @VSurroi, a newspaper lately close to Albin Kurti, is requesting that the Ambassador &amp; former Acting Director of National Intelligence @RichardGrenell to be announced “persona non grata” in Kosovo. Seems to be initiative of Albin Kurti https://t.co/UAhFO2qH9Z",31,0,1,2022-08-08 15:23:18+00:00
ChelseaBias,"@xhemajl_rexha Bravo Albin Kurti, doing right by it is people.",48,0,4,2022-08-08 14:49:23+00:00
b92english,"https://t.co/UtNdS1kTAC
Prime Minister of the so-called Kosovo, Albin Kurti, told Italian newspaper Republika that the risk of a new conflict with Serbia is high, Albanian Post reports.",6892,0,0,2022-08-08 10:59:41+00:00
gazmend_b,You trash Albin Kurti because the Serbian government sponsors you https://t.co/qjZ2Un1dnc,39,0,0,2022-08-08 10:57:05+00:00
ElonMusgraves,crazy how the right wing opposition basically coup'd them and the US encouraged it because they wanted a kosovo-israel normalisation agreement then at the next election albin kurti came back with a landslide,1973,0,1,2022-08-08 10:30:48+00:00
Dejan_Ilich,@LarsGWigemark @GermanAmbKOS @EULEXKosovo @LarsGWigemark maybe tell your friend Albin Kurti to stop sending his Gestapo into the Serbian-populated areas in the north of #Kosovo and provoking conflict.,617,0,5,2022-08-08 07:43:14+00:00
dlipahungary,"📸 | Today @DUALIPA received flowers from Kosovo’s Prime Minister, Albin Kurti, thanking her for her advocacy for the country (07/08)

“I thanked Dua for the beautiful representation of Kosovo’s values worldwide. Her contribution to Kosovo is immeasurable” https://t.co/3D1qKc8ahV https://t.co/TuYybH4oMU",26346,30,335,2022-08-07 16:36:22+00:00
N1info,"Kosovo Government's decisions on reciprocity for personal documents and license plates will not be considered at the meeting between #Kosovo PM Albin Kurti and #Serbia President Aleksandar Vucic on August 18 in Brussels, the Kosovo government said https://t.co/ZIPX4wWSPf",50462,0,2,2022-08-07 11:33:04+00:00
