User,Text,Followers,Retweets,Favorites,Date
arismoonshine,never would i have guessed moonlight by ariana grande would be used as an opening song to a horror game https://t.co/ToMlRe1vKj,6075,0,0,2022-06-15 16:55:09+00:00
Alycat_xo,"Ariana Grande Heardle #64

🔉⬛️🟩⬜️⬜️⬜️⬜️",6225,0,0,2022-06-15 16:55:05+00:00
rapmafmums,#NowPlaying Ariana Grande ft. @justinbieber - Stuck With U #AFTERDAY,836,0,0,2022-06-15 16:53:32+00:00
dagr8fm,The Weeknd &amp; Ariana Grande - Save Your Tears https://t.co/f9fvZJBTTj,21668,0,0,2022-06-15 16:51:23+00:00
SilasByler,"@ratedbyler The nickelodeon movie 'Swindle' with Ariana Grande... That's her saying ""No, Ew""",22,0,0,2022-06-15 16:50:58+00:00
JustHannahhhh,Playing #TheQuarry trial and NO FREAKING WAY do they have Ariana Grande playing 😭😭😭 utter fan girl moment 🥰🥰🥰🥰🥰🥰🥰,419,0,1,2022-06-15 16:50:10+00:00
xxxClosxxx,"If you’re over the age of 16 and you think Ariana Grande is hot, just turn yourself in bro",443,0,0,2022-06-15 16:50:09+00:00
tanniesblues,"Madame Tussauds really said ""when it comes to Ariana grande, I will never rest; until my best is better and my better, best"" https://t.co/Y1IpV9lbb6",247,0,0,2022-06-15 16:48:16+00:00
Hutheen,"New hailey bieber &amp; ariana grande moment 
https://t.co/SQDhpDWREw",3574,0,8,2022-06-15 16:47:44+00:00
HugoHufflepuff,@hzjoe03 I didn’t know Ariana Grande’s brother was playing Ken OMG https://t.co/aU0W8JcE3b,55,0,0,2022-06-15 16:47:19+00:00
BlckFuzz,"@brj2112 @FlorioGina @JackPosobiec But here, since you’re uneducated, I’ll give you a list of cool people that have been to these things-
Billy Porter, Lada Gaga, Ariana Grande, Todrick Hall, Taylor Swift, Sir Ian McKellen, Meghan Trainor, Abbi Jacobson, RuPaul, Chris Rock, DANNY DEVITO, and a shit ton of others",23,0,0,2022-06-15 16:46:31+00:00
UIndyRadio,"It's Wednesday, which means it's time for some motivation to finish the week out strong! This quote from the one and only Ariana Grande! ✨💁‍♀️

#UIndyRadio #Alternative2Alternative #ArianaGrande https://t.co/2svAsf5g3E",553,0,0,2022-06-15 16:46:26+00:00
mmmayraz,How fun would it be to throw a party where everyone has to dress like Ariana Grande lmaoo I want it,297,0,0,2022-06-15 16:45:26+00:00
barbut_,"wait, i think i see ariana grande there 👀 and also raisa i guess???",407,0,0,2022-06-15 16:45:00+00:00
trecarys,*cues Ariana Grande x Needy*,4967,0,0,2022-06-15 16:44:24+00:00
illusionkaty,Ariana Grande tempting to drown Nicki Minaj in the BED music video https://t.co/J6oVI1nAg2,656,0,2,2022-06-15 16:44:05+00:00
CAdreamboy,@JayKahnD Stay strong mama and like queen Ariana Grande once said just keep breeding and breeding and breeding…,7614,0,1,2022-06-15 16:41:50+00:00
scorched_water,"@134oyy @Jmatic_ @TBev1218 Everyone’s talking about Cardi. If Ariana Grande was out there, she’d be the main topic, too. You stan accounts do too much💀",225,0,0,2022-06-15 16:41:45+00:00
DreamofWinx,@freakyflaw It’s giving Ariana grande bangsiana era,294,0,0,2022-06-15 16:40:34+00:00
onikascumslut,"New on stan twitter, looking for followers 
I stan Nicki minaj
Doja cat
Rihanna
Beyoncé 
Ariana grande
Zendaya
Literally all black female artists
Drake
Wayne
The weeknd
Black pink
Bts 
Karol G
Bad bunny 
Pls follow and retweet  to help me find moots ❤️‍🔥",15,7,8,2022-06-15 16:39:48+00:00
louistcure_,34+35 by ariana grande. https://t.co/l2uKVHnDTV,1313,0,0,2022-06-15 16:39:42+00:00
Shaniaxtaylor,Reading some of them Ariana grande fans tweets about Taylor made me understand why that terrorist did what he did back then,174,0,0,2022-06-15 16:39:20+00:00
WoodyWindham,"Now Playing on iWoody Radio:

Ariana Grande, Miley Cyrus &amp; Lana Del Rey - Don't Call Me Angel

https://t.co/xQCwDKsHk1",179,0,0,2022-06-15 16:39:14+00:00
lilmeowm3ow,ariana grande baby soon i can sense it,363,0,0,2022-06-15 16:38:53+00:00
Big_Tiddy_Goth,I be dressed scary af listening to Ariana Grande 😭,166,0,0,2022-06-15 16:38:40+00:00
beaulngfrd,He looks like ariana grande's brother 👁👁 https://t.co/7zaOje7vJD,3226,0,1,2022-06-15 16:38:39+00:00
MadMax_qwerty,"Now i will scream at wallmart that Ariana Grande is PREGNANT and a paid actor will give reaction and it will trend in twitter 😁😁
#zendayapregnant #fakepregnantnews
#zendayanotpregnant",0,0,0,2022-06-15 16:37:44+00:00
signolease,i’m an ariana grande/rem beauty devotee,1880,0,2,2022-06-15 16:37:32+00:00
jvanmaraj2,ryan gosling as ken singing along to ariana grande’s breathing for the upcoming barbie movie  https://t.co/bR40TgKFxO,949,0,2,2022-06-15 16:36:27+00:00
Energia97play,[13:36] The Weeknd &amp; Ariana Grande - Save Your Tears,15654,0,0,2022-06-15 16:36:21+00:00
txba_butera,Day 39 of manifesting an Ariana grande cb with an full album https://t.co/USp7GHiHcY https://t.co/SahmC31qlj,343,0,2,2022-06-15 16:35:34+00:00
QQaawan,Sorry bro #JusticeForAmberHeard #JustinBieber  #JUSTIN  #Justinbeiber #sorrynotsorry #Bieber #SelenaGomez #Selena #CamilaCabello #Karol #Selena Gomez #OnlyMurdersInTheBuilding #adoptmetrading #Ariana Grande #Karol G #AESPA COMEBACK #altercdo #AlterManila https://t.co/gBOJWXgn92,155,0,0,2022-06-15 16:34:53+00:00
Vale_0579,Ariana Grande being Ariana Grande https://t.co/IV4KKKdMmR,45,0,1,2022-06-15 16:34:44+00:00
breeuhrae,"New favorites: 

Giorgio Armani: Acqua 
Philosophy: Fresh Cream 
Ariana Grande: Cloud https://t.co/P7oDhHYWp3",7,0,0,2022-06-15 16:34:41+00:00
ddemonique,"procuro moots que gostem ou são do fandom de:
· aurora aksnes
· sadie sink
· st
· fear street
· heartstopper
· young royals
· grimm
· finn wolfhard
· maya hawke
· the nbhd e a.m
· harry styles
· ariana grande
· billie eilish 
· wallows
· dayglow
· t3ddy
· doarda
· goularte
i só",21,0,0,2022-06-15 16:33:43+00:00
yammottac,@updatecharts only 1 ariana grande,57,0,0,2022-06-15 16:32:41+00:00
allisonsfavs,AFF | Ariana Grande Cloud Perfume #beautylovers #perfume https://t.co/UMPYNufbsz,192,0,0,2022-06-15 16:30:09+00:00
babybeesting,"Hailey using Ariana Grande make up product, ikr R.E M 😉😊 https://t.co/2RGx0Mf4Rj",268,0,4,2022-06-15 16:29:56+00:00
sitcomslvt,what in the ariana’s brother Frankie Grande is this https://t.co/bdRas1eetx,235,0,1,2022-06-15 16:28:09+00:00
prokhoefiev,"Valorant Wordle #105 5/6
⬜🟨🟨⬜🟨
🟨🟩🟩⬜⬜
⬜🟩🟩⬜🟩
⬜🟩🟩🟨🟩
🟩🟩🟩🟩🟩

Halsey Heardle #63
🔈⬛️⬛️⬛️🟩⬜️⬜️
Green Day Heardle #54
🔈⬛️⬛️⬛️⬛️⬛️🟩
Ariana Grande Heardle #65
🔊🟩⬜️⬜️⬜️⬜️⬜️
Taylor Swift Heardle #72
🔊🟩⬜️⬜️⬜️⬜️⬜️
Billie Eilish Heardle #72
🔊🟩⬜️⬜️⬜️⬜️⬜️",273,0,0,2022-06-15 16:28:07+00:00
taymcu,"@limesotire @Antoniho5 can you shut up about ariana grande, mid gaga, katy, midnite and mid wars?",1055,0,1,2022-06-15 16:27:45+00:00
LeftBehindPoet,"@Chr1s_not_a_bot @David19531501 @brianbloop2 @Ardipithicus57 @Rayjudd7 @GeoffBarton9 @PaddyM10128237 @1ainTro11sBots @Dav1dJacksonuk @SetCondiment @GeoffreyKeey @etxberria55 @mindedmusically @wanderer_bolton @Martin020455 @ShegorTheReador @LouiseColledge4 @Begentle50 @Roblev0 @stilllearning90 @bazcarter15 @wobski421 @Peter14306722 @Gazza41 @Obohobofromnobo @of_flocks @cathyby @987_charles @Christinauk53 @JohnRya13591294 @EuOutta @andrewsibley15 @Jonatha40608198 @Shayna620 @Ciolfilicious1 @ConraddKonnrad @ChrisEv06631592 @Claesson_Kate @TheEnglishRebel @resiguru @CredaCreda @just2sayin @GeorReader @Davidmetroland @EliasHoshea @BeowulfSchaefer @neven_francis @CharlieCarlsbad @Musc1esbri2 @suastusa Whenever I see that excuse I think of the paraplegic professor that kicked the bucket. There's also the Ariana Grande guy who just climbed a mountain. Forget ""can't"" and think what support would be required. Help people to achieve don't write them off like a car wreck.",554,0,0,2022-06-15 16:27:09+00:00
rh8de,hailey bieber x ariana grande my two worlds collide https://t.co/8RgtmfXMSo,144,0,1,2022-06-15 16:27:09+00:00
iamEBarlow,"Lady Gaga, Ariana Grande - Rain On Me (Kamikarzy Remix) by Vibe. Records https://t.co/EMobv3mfFG",2801,0,1,2022-06-15 16:25:59+00:00
JAILEYSWRLD,HAILEY BIEBER USING REM BY ARIANA GRANDE https://t.co/ISPB0uVDuo,11270,10,48,2022-06-15 16:25:49+00:00
tbyweeknd,"finish the ariana grande lyric:
lucky to be your lover
heartbeat won't loose
whole body buzzin'
feel it in ___________",1923,0,0,2022-06-15 16:25:13+00:00
cinefagz,FRANKIE GRANDE?!?? ARIANA MUST BE SO PROUD OMGG https://t.co/8FpQA9P9gp,150,0,2,2022-06-15 16:24:46+00:00
begmetoluvyou,@bbylilyluvrr @lilyluvrr is that ariana grande,43,0,0,2022-06-15 16:24:44+00:00
mugghetaboutit,Ariana Grande Merch|Ariana Grande Sweatshirt|Positions Shirt|Just Like Magic Sweater|Excuse Me I love you|Sweetener|Gifts For Her|Best Gifts https://t.co/qfH2OtujXZ via @Etsy,1538,0,0,2022-06-15 16:23:30+00:00
sex_haver404,Like Instagram really had y’all yelling at Ariana Grande or Beyoncé for not talking about the daily school shooting like ??? What was y’all on fr,113,0,0,2022-06-15 16:23:18+00:00
